Freq,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing 
444.67500+,136.5,"Buckley Three Sisters",WA,Pierce,N7BUW,OPEN,40.9,SSE
442.62500+,103.5,"Enumclaw Baldi Mountain",WA,King,WB7DOB,OPEN,35.2,SE
440.40000+,123.0,"Arlington ",WA,Snohomish,N7XCG,OPEN,42.0,NNE
443.90000+,151.4,"Snohomish ",WA,Snohomish,KG7QPU,OPEN,23.8,NNE
442.20000+,103.5,"Poulsbo ",WA,Kitsap,WA6PMX,OPEN,17.2,WNW
441.70000+,103.5,"Enumclaw Baldi Mountain",WA,King,W7PSE,OPEN,34.8,SE
444.60000+,103.5,"Bellevue Lincoln Square",WA,King,K7LWH,OPEN,6.2,ESE
443.62500+,103.5,"Sumner White River Junction",WA,Pierce,W7PSE,OPEN,28.2,S
444.42500+,141.3,"Seattle KOMO TV Tower",WA,King,WW7SEA,OPEN,2.0,NNW
440.15000+,103.5,"Mercer Island ",WA,King,W7MIR,OPEN,5.8,SE
440.25000+,123.0,"Sammamish ",WA,King,W7SRG,OPEN,12.0,E
440.37500+,103.5,"Edmonds ",WA,Snohomish,WE7SCA,OPEN,14.3,N
440.50000+,110.9,"Olympia Capitol Peak",WA,Thurston,W7WRG,OPEN,57.7,SW
440.65000+,100.0,"Shelton South Mountain",WA,Mason,K7CH,OPEN,45.0,SW
441.45000+,123.0,"Renton ",WA,King,KC7IGT,OPEN,12.5,SSE
441.87500+,103.5,"Sultan Haystack Mountain",WA,Snohomish,WC7T,OPEN,30.4,E
442.00000+,141.3,"Lake Forest Park ",WA,King,WE7SCA,OPEN,10.7,NNE
442.17500+,103.5,"Gold Bar ",WA,Snohomish,W7EAR,OPEN,34.2,E
442.72500+,103.5,"Eatonville ",WA,Pierce,W7EAT,OPEN,26.5,SE
443.07500+,103.5,"Olympia ",WA,Thurston,KC7CKO,OPEN,47.5,SW
443.80000+,146.2,"Olympia ",WA,Thurston,W7USJ,OPEN,47.5,SW
443.87500+,127.3,"Gold Bar Haystack Mountain",WA,Snohomish,N7NFY,OPEN,33.9,E
444.02500+,103.5,"Edmonds ",WA,Snohomish,WE7SCA,OPEN,14.3,N
444.77500+,173.8,"Seattle Seattle Childrens Hospital",WA,King,K7IDS,OPEN,4.5,NNE
444.97500+,114.8,"Everett ",WA,Snohomish,WC7T,OPEN,33.9,E
445.82500x,100.0,"Seattle ",WA,King,W7BMW,OPEN,6.1,NNW
443.05000+,100.0,"Bremerton ",WA,Kitsap,N7MTC,OPEN,13.0,W
440.72500+,114.8,"Nordland Marrowstone Island",WA,Jefferson,AA7MI,OPEN,35.3,NNW
442.72500+,D172,"Mill Creek ",WA,Snohomish,WR7DS,OPEN,18.8,NNE
443.40000+,123.0,"Bellevue Cougar Mountain",WA,King,K7PP,OPEN,11.8,SE
441.20000+,123.0,"Bremerton Gold Mountain",WA,Kitsap,K7PP,OPEN,21.5,W
440.07500+,103.5,"Enumclaw ",WA,King,N7OEP,OPEN,32.0,SSE
440.10000+,110.9,"Seattle ",WA,King,K7SLB,OPEN,0.0,N
440.25000+,123.0,"Issaquah ",WA,King,N9VW,OPEN,14.9,SE
440.95000+,110.9,"Quilcene Buck Mtn",WA,Jefferson,K7DK,OPEN,14.9,SW
441.27500+,123.0,"Poulsbo ",WA,Kitsap,W7LOR,OPEN,17.2,WNW
441.42500+,110.9,"Greenbank Whidbey Island",WA,Island,N7KN,OPEN,35.8,NNW
441.50000+,100.0,"Bremerton Gold Mountain",WA,Kitsap,W7TWA,OPEN,21.5,W
441.55000+,103.5,"Issaquah ",WA,King,W7WWI,OPEN,14.9,SE
441.65000+,127.3,"North Bend Rattlesnake Ridge",WA,Snohomish,N7NFY,OPEN,46.1,SE
442.15000+,103.5,"Hobart Rattlesnake Ridge",WA,King,KF7BJI,OPEN,21.0,SE
442.22500+,100.0,"Kingston ",WA,Kitsap,W7KWS,OPEN,15.4,NNW
442.55000+,103.5,"Bothell ",WA,King,WA7HJR,OPEN,12.3,NNE
442.80000+,123.0,"Sequim Blyn Mountain",WA,Mason,N7NFY,OPEN,39.6,NW
443.00000+,156.7,"Seattle ",WA,King,W7ACS,OPEN,0.0,N
443.02500+,107.2,"Buckley ",WA,Pierce,WA7LBS,OPEN,33.8,SSE
443.17500+,107.2,"Enumclaw ",WA,King,N7OEP,OPEN,32.0,SSE
443.47500+,141.3,"Seattle ",WA,King,W7ACS,OPEN,0.0,N
444.85000+,103.5,"Bellevue Cougar Mountain",WA,King,W7DME,OPEN,10.7,SE
444.72500+,123.0,"Edmonds ",WA,Snohomish,NW7DR,OPEN,17.5,N
441.82500+,103.5,"Bellevue Cougar Mountain",WA,King,KE7GFZ,OPEN,10.7,SE
444.30000+,103.5,"Darrington Gold Hill",WA,Snohomish,,OPEN,56.2,NE
441.95000+,131.8,"Quilcene Buck Mountain",WA,Jefferson,W7WRG,OPEN,30.1,WNW
443.35000+,103.5,"Kent Emerald Park Elementary School",WA,King,K7RFH,OPEN,15.4,SSE
442.80000+,,"Darrington Barlow Pass",WA,Snohomish,KD7VMK,OPEN,51.5,NE
442.75000+,146.2,"Tacoma Madigan Army Medical Center ",WA,Pierce,KE7YYD,OPEN,35.9,SSW
441.57500+,100.0,"Port Orchard ",WA,Kitsap,W6AV,OPEN,18.8,WSW
444.67500+,173.8,"Lynnwood ",WA,Snohomish,N6CES,OPEN,14.4,N
444.75000+,100.0,"Sequim ",WA,Clallam,KA6WIN,OPEN,48.4,NW
443.20000+,141.3,"Seattle Westcrest Park",WA,King,W7ACS,OPEN,5.9,S
446.52500x,,"North Bend Valley Camp",WA,King,WA7VC ,OPEN,32.0,SE
